,Адсорбент,"Tрег, ᵒС
","W0, см3/г","E0, кДж/ моль","х0, нм","а0, ммоль/г","E,  кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Номер образца,Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Vсин. (р-ля), мл","Т.син., °С","Vпр. (р-ля), мл","Т суш., °С",m образца
72,MOF#155,130,0.76,14.56,0.82,21.85,4.8,2001.7,1.08,31.4,0.3200000000000001,155,Fe,BDC,ДМФА,0.8084,0.4983,24.0,130,150,130.0,0.5987
73,MOF#143,130,0.38,15.07,0.8,10.97,4.97,951.7,0.53,31.49,0.15,143,Fe,BDC,ДМФА,0.8075,0.498,24.0,130,150,130.0,0.7191
74,MOF#172,130,0.54,13.88,0.86,15.61,4.58,1495.9,0.78,17.02,0.24,172,Fe,BDC,ДМФА,0.8087,0.498,24.0,130,150,130.0,0.7236
75,MOF#179,130,1.07,12.62,0.95,30.9,4.16,3036.4,1.52,22,0.45,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
76,MOF-179(5)(FeBDC)^^,130,0.86,14.47,0.83,24.86,4.78,2857.0,1.47,53,0.61,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
77,MOF-179-6-1,130,0.92,13.8,0.87,26.55,4.55,2923.0,1.55,110,0.63,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
78,MOF-179-6-2,130,0.92,13.62,0.88,26.56,4.5,2898.0,1.55,103,0.63,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
79,MOF-179-6-3,130,0.27,13.99,0.86,7.73,4.62,849.0,0.46,42,0.19,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
80,MOF-179-130C(09-2020)-1,130,0.84,14.14,0.85,24.23,4.67,2817.0,1.42,40,0.58,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
81,MOF-179-200C(09-2020),200,0.67,13.84,0.87,19.27,4.57,1743.0,0.76,0,0.08999999999999997,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
82,MOF-179-130C(09-2020)-2,130,0.87,14.06,0.85,24.95,4.64,2826.0,1.42,40,0.5499999999999999,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
83,MOF-179-160C(09-2020),160,0.84,13.95,0.86,24.32,4.6,2774.0,1.44,48,0.6,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
84,MOF-179-180C(09-2020),180,0.66,13.9,0.86,19.03,4.59,1723.0,0.81,22,0.15,179,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1956
85,MOF#180,130,1.01,12.9,0.93,29.2,4.26,2863.8,1.44,22.3,0.4299999999999999,180,Fe,BDC,ДМФА,0.8085,0.498,24.0,130,150,130.0,1.1338
86,MOF#178,130,0.62,14.37,0.83,17.78,4.74,1661.1,0.81,11.8,0.1900000000000001,178,Fe,BDC,ДМФА,0.8084,0.4952,24.0,130,150,130.0,0.8833
87,MOF#142,130,0.22,15.25,0.79,6.3,5.03,570.0,0.39,33.3,0.17,142,Fe,BDC,ДМФА,0.808,0.498,24.0,130,150,130.0,0.5645
88,MOF#175,130,0.74,14.19,0.85,21.34,4.68,1958.5,1.05,40.5,0.3100000000000001,175,Fe,BDC,ДМФА,0.8083,0.498,24.0,130,150,130.0,1.0977
89,MOF#174,130,0.56,14.81,0.81,16.26,4.89,1461.1,0.73,24.3,0.1699999999999999,174,Fe,BDC,ДМФА,0.8088,0.498,24.0,130,150,130.0,0.9436
90,MOF#170,130,0.61,14.9,0.81,17.61,4.92,1598.2,0.9,50,0.29,170,Fe,BDC,ДМФА,0.8081,0.4987,24.0,130,150,130.0,0.5483
91,MOF#146,130,0.28,16.67,0.72,7.93,5.5,694.9,0.43,34.8,0.15,146,Fe,BDC,ДМФА/Этанол,0.8192,0.5074,24.0,130,150,130.0,0.6151
92,MOF#181,130,0.74,13.58,0.88,21.23,4.48,2020.8,1.11,69,0.3700000000000001,181,Fe,BDC,ДМФА,0.8081,0.4986,24.0,130,150,130.0,1.0435
95,MOF#183(Fe),130,0.46,15.49,0.77,13.28,5.11,1301.6,1.31,296,0.8500000000000001,183,Fe,BTC,ДМФА,1.215,0.63,24.0,130,150,130.0,1.545
96,MOF#147(Fe),130,0.22,17.25,0.7,6.45,5.69,603.0,0.31,14.7,0.09,147,Fe,BDC,ДМФА/Вода,0.8062,0.5006,24.0,130,150,130.0,0.1895
99,MOF#168(Fe),130,0.29,15.18,0.79,8.35,5.01,807.3,0.45,24.5,0.16,168,Fe,BDC,ДМФА,0.808,0.4986,24.0,130,150,130.0,0.5073
100,MOF#173(Fe),130,0.42,14.44,0.83,12.17,4.77,1229.2,0.61,7.31,0.19,173,Fe,BDC,ДМФА,0.808,0.4994,24.0,130,150,130.0,0.6141
112,MOF#184(Fe),130,0.6,15.68,0.77,17.16,5.18,1654.3,0.99,86.3,0.39,184,Fe,NH2-BDC,ДМФА,0.808,0.5436,24.0,130,150,130.0,0.779
118,MOF#176(Fe),130,0.3,19.02,0.63,8.77,6.28,747.0,0.39,39.8,0.09000000000000002,176,Fe,BDC,ДМФА,0.8091,0.4985,24.0,130,150,130.0,0.7596
119,MOF#207(Fe),130,0.39,16.35,0.73,11.21,5.4,1021.3,0.6,54.1,0.21,207,Fe,BTC,ДМФА,1.2128,0.6324,24.0,130,150,130.0,1.061
124,MOF#201(Fe),130,0.35,16.1,0.75,10.17,5.31,975.4,0.63,70.9,0.28,201,Fe,BTC,ДМФА,1.212,0.63,24.0,130,150,130.0,1.3296
125,MOF-201(2)(Fe),130,0.38,16.8,0.71,10.8,5.54,1075.0,0.65,69,0.27,201,Fe,BTC,ДМФА,1.212,0.63,24.0,130,150,130.0,1.3296
126,MOF-201-150(Fe),150,0.48,13.58,0.88,13.68,4.48,1122.0,0.63,63,0.15,201,Fe,BTC,ДМФА,1.212,0.63,24.0,130,150,130.0,1.3296
127,MOF-201-180(Fe),180,0.5,13.92,0.86,14.49,4.59,1198.0,0.68,62,0.18,201,Fe,BTC,ДМФА,1.212,0.63,24.0,130,150,130.0,1.3296
128,MOF-201-200(Fe),200,0.48,14.08,0.85,13.94,7.65,1144.0,0.64,62,0.16,201,Fe,BTC,ДМФА,1.212,0.63,24.0,130,150,130.0,1.3296
129,MOF-201-220(Fe),220,0.49,14.62,0.82,14.14,4.82,1192.0,0.68,60,0.1900000000000001,201,Fe,BTC,ДМФА,1.212,0.63,24.0,130,150,130.0,1.3296
130,MOF-201-250(Fe),250,0.49,14.54,0.83,14.01,4.8,1179.0,0.66,59,0.17,201,Fe,BTC,ДМФА,1.212,0.63,24.0,130,150,130.0,1.3296
131,MOF#215(Fe),130,0.45,15.74,0.76,12.85,5.19,1263.0,0.91,117.2,0.46,215,Fe,BTC,ДМФА,1.2129,0.6306,40.0,130,150,130.0,1.52
132,MOF#215-2(Fe),130,0.43,16.04,0.75,12.31,5.29,1207.4,0.85,142.6,0.42,215,Fe,BTC,ДМФА,1.2129,0.6306,40.0,130,150,130.0,1.52
136,MOF#209(Fe),130,0.58,15.82,0.76,16.74,5.22,1674.3,1.15,136.1,0.57,209,Fe,NH2-BDC,ДМФА,0.8088,0.5433,24.0,130,150,130.0,0.6808
137,MOF#195(Fe)^^,130,0.35,16.19,0.74,10.11,5.34,901.2,0.62,100,0.27,195,Fe,BTC,ДМФА,1.218,0.6335,24.0,130,150,130.0,1.245
139,MOF#219(Fe),130,0.55,15.66,0.77,15.9,5.17,1596.8,1.01,87.3,0.46,219,Fe,NH2-BDC,ДМФА,0.8081,0.5436,24.0,130,150,130.0,1.1052
154,MOF#254(Fe),103,0.23,15.51,0.77,6.71,5.12,629.6,0.96,201.6,0.73,254,Fe,BDC,ДМФА,0.8087,0.4984,24.0,103,150,130.0,0.5018
